departement_name,price
Paris,10271
Hauts-de-Seine,6218
Val-de-Marne,4463
Seine-Saint-Denis,3718
Haute-Savoie,3509
Bouches-du-Rhône,3463
Yvelines,3149
Alpes-Maritimes,3103
Var,3011
Val-d'oise,2976
Essonne,2900
Corse-du-sud,2707
Vaucluse,2683
Rhône,2551
Savoie,2418
Seine-et-Marne,2328
Hautes-Alpes,2107
Isère,2094
Hérault,2088
Drôme,2070
Haute-corse,2064
Gard,2053
Loire-Atlantique,2006
Ain,1943
Gironde,1934
Alpes-de-Haute-Provence,1897
Oise,1879
Calvados,1843
Pyrénées-Orientales,1832
Ardèche,1791
Haute-Garonne,1778
Morbihan,1749
Landes,1729
Eure,1670
Seine-Maritime,1648
Doubs,1638
Ile-et-Vilaine,1629
Nord,1619
Pyrénées-Atlantiques,1617
Charente-Maritime,1589
Territoire,1588
Eure-et-Loir,1586
Indre-et-Loire,1534
Vendée,1532
Marne,1520
Lot,1514
Loiret,1511
Tarn-et-Garonne,1497
Maine-et-Loire,1496
Loire,1493
Hautes-Pyrénées,1472
Dordogne,1462
Pas-de-Calais,1447
Finistère,1441
Tarn,1401
Manche,1389
Lozère,1382
Lot-et-Garonne,1373
Gers,1372
Côte-d'or,1358
Somme,1356
Aude,1345
Côtes-d'armor,1333
Saône-et-Loire,1324
Puy-de-Dôme,1304
Jura,1296
Ariège,1296
Meurthe-et-Moselle,1294
Loir-et-Cher,1284
Orne,1241
Aveyron,1235
Sarthe,1231
Ardennes,1228
Aube,1224
Corrèze,1200
Aisne,1187
Charente,1166
Haute-Vienne,1149
Yonne,1146
Mayenne,1137
Haute-Loire,1130
Vienne,1128
Haute-Saône,1118
Cantal,1104
Cher,1062
Indre,1059
Vosges,1047
Deux-Sèvres,1039
Allier,1028
Haute-Marne,992
Nièvre,990
Meuse,958
Creuse,873
